id,BomCode,BomCodeName,CanPacking,Remark,LastUpdatedDateTime,NeedPicking
8500,GCZH004B18,组合板件_GCTZ2101003(三氨)_18mm拉手②,0,,2017-08-05 11:22:15.103,
8501,GCZH005A18,组合板件_GCTZ2101005_18mm抽面①,0,,2017-06-26 10:33:15.947,
8502,GCZH005B18,组合板件_GCTZ2101005_18mm拉手②,0,,2017-06-26 10:37:08.27,
8503,GCZH006A18,组合板件_LXBJ5015_18mm板件①,0,,2017-06-26 09:45:18.72,
8504,GCZH006B18,组合板件_LXBJ5015_18mm板件②,0,,2017-06-26 09:45:29.06,
8505,FMM99271,工程_(GCTZ4102021)27mm复合平板掩门(普通),0,,2016-12-23 17:46:07.343,
8506,FMM99272,工程_(GCTZ4102022)27mm复合平板掩门(普通),0,,2016-12-23 17:48:08.403,
8507,FZM9937,工程_(GCTZ2101008)18mm造型抽面,0,,2016-12-23 17:55:03.387,
8508,GFX037,工程_(XT6115)门套线(2440*50*18)(切割),0,,2016-12-28 14:22:16.603,
8509,GFX038,工程_(XT6115)门套线(3050*50*18)(切割),0,,2016-12-28 14:23:01.94,
8510,FMM99273,工程_(GCTZ2101009)18mm不锈钢拉手抽面,0,,2016-12-28 14:45:16.147,
8511,FMM99274,工程_(GCTZ2101010)20mm封边拉手抽面,0,,2016-12-28 14:46:07.4,
8512,FMM99275,工程_(GCTZ4105006)31.5mm不锈钢包边灰镜掩门,0,,2016-12-28 14:46:52.61,
8513,FMM99276,工程_(GCTZ4105007)30.5mm不锈钢包边皮革掩门,0,,2016-12-28 14:49:31.853,
8514,FMM99277,工程_(GCTZ4105008)30.5mm不锈钢包边皮革掩门,0,,2016-12-28 14:50:37.573,
8515,FMM99278,工程_(GCTZ4105009)22.5mm不锈钢包边银镜掩门,0,,2016-12-28 14:52:33.237,
8516,FMM99279,工程_(GCTZ2101009)19mm不锈钢拉手抽面,0,,2016-12-28 16:02:10.19,
8517,FMM99280,工程_(GCTZ4105010)27mm不锈钢包边掩门,0,,2016-12-28 17:21:19.493,
8518,FMM99281,工程_(GCTZ1202023)48mm复合灯槽层板,0,,2016-12-29 11:39:33.613,
8519,FMM99282,工程_(GCTZ4201008)32mm复合平板木趟门,0,,2016-12-29 11:40:08.617,
8520,GCZH003A26,组合板件_GCTZ1101003_26mm板件①,0,,2017-06-26 10:28:07.457,
8521,GCZH003B26,组合板件_GCTZ1101003_26mm板件②,0,,2017-06-26 10:28:15.513,
8522,FMM99283,工程_(GCTZ4103005)50mm房门,0,,2016-12-29 19:54:20.377,
8523,FMM99284,工程_(GCTZ4203005)36mm复合平板移门,0,,2016-12-30 15:55:29.133,
8524,FMM99285,工程_(GCTZ4301002)30mm不锈钢吊轨门,0,,2016-12-30 15:56:07.82,
8525,GH90600853,工程_(BXGZ149)拉丝咖啡金不绣钢拉手(S129),0,,2016-12-30 16:24:09.193,
8526,GH90600857,工程_(BXGZ155)拉丝咖啡金不绣钢(S129),0,,2016-12-30 16:25:28.36,
8527,GH90600858,工程_(BXGZ156)拉丝咖啡金不绣钢(S129),0,,2016-12-30 16:28:37.023,
8528,GFL022,工程_(QT6036-1)6M木趟门上下轨(柜身油漆),0,,2017-01-09 15:10:10.72,
8529,GFL022A,工程_(QT6036-1)6M木趟门上下轨(柜身三氨),0,,2017-01-09 15:11:11.783,
8530,FMM99286,工程_(GCTZ4102020)26mm平板暗拉手掩门,0,,2017-01-13 16:02:34.45,
8531,FMM99287,工程_(GCTZ1202010)48mm复合层板(带灯带YT5010),0,,2017-01-16 11:37:28.097,
8532,FMM99288,工程_(GCTZ4201009)37mm复合趟门,0,,2017-01-16 11:38:12.26,
8533,GFL023,工程_(QT6194)趟门导轨(2000mm)(切割)(YQ),0,,2017-07-18 16:00:40.367,
8534,GFL024,工程_(QT6194)趟门导轨(2500mm)(切割)(YQ),0,,2017-07-18 16:00:35.343,
8535,GH99900535,工程_4mm灰色皮革板(PG5001),0,,2017-01-18 14:32:55.75,
8536,FMM99289,工程_(GCTZ1202024)YT5010灯槽层板(48mm三胺),0,,2017-02-14 09:24:51.283,
8537,FMM99290,工程_(GCTZ1202025)YT5010灯槽层板(48mm三胺有中竖板),0,,2017-02-14 09:25:53.583,
8538,FMM99291,工程_(GCTZ1202026)有机片灯槽层板(48mm三胺),0,,2017-02-15 09:41:58.683,
8539,FMM99292,工程_(GCTZ1202027)有机片灯槽层板(48mm三胺有中竖板),0,,2017-02-15 09:44:29.507,
8540,PRS40M01,40mm中竖板,0,,2017-02-16 08:59:55.713,
8541,GH90600841,工程_(BXGZ145)拉丝玫瑰金不锈钢装饰条(S128),0,,2017-02-20 15:05:25.673,
8542,GH90600843,工程_(BXGZ147)拉丝玫瑰金不锈钢装饰条(S128),0,,2017-02-20 15:06:35.187,
8543,GG90000146,工程_(BL4032-1)5mm白色烤漆玻璃,0,,2017-02-20 15:07:40.447,
