Id,Code,Name,OrderIndex,Remark,IsDeleted,UpdatedDateTime,CreatedDateTime
1,四○,见光1H厚边、不见光1H2L薄边,430,,0,2010-08-11 08:35:10.983,2010-08-11 08:35:10.983
2,四K○,一厚三薄,403,开槽,1,1753-01-01 00:00:00.0,2010-08-11 08:35:42.903
3,四△,四厚边,410,,0,2010-08-11 08:36:20.397,2010-08-11 08:36:20.397
4,四K△,四厚,404,开槽,1,2010-08-11 08:36:39.907,2010-08-11 08:36:39.907
5,四○R,圆弧做形，见光边厚边、不见光边薄边,434,R表示圆弧层板做形,0,2010-08-11 08:37:37.893,2010-08-11 08:37:37.893
6,四,四薄边,401,,0,2010-08-11 08:38:09.393,2010-08-11 08:38:09.393
7,四K,四厚,407,开槽,1,2010-08-11 08:40:49.913,2010-08-11 08:40:49.913
8,1H,一长薄边,101,,0,2010-08-11 08:41:19.903,2010-08-11 08:41:19.903
9,2H,两薄,2,,1,2010-08-11 08:43:04.047,2010-08-11 08:43:04.047
10,1H,一薄,1,,1,2010-09-01 17:29:51.5,2010-09-01 17:29:51.5
11,"四○R,K3",圆弧做形，见光边厚边、不见光边薄边,435,,0,2010-09-01 17:30:35.927,2010-09-01 17:30:35.927
12,"四K○,K1",见光1H厚边、不见光1H2L薄边，开槽,460,,0,2010-09-01 17:31:01.923,2010-09-01 17:31:01.923
13,"四K△,K1",四厚边，开槽,450,,0,2010-09-01 17:31:34.43,2010-09-01 17:31:34.43
14,"四○,K3",见光1H厚边、不见光1H2L薄边，做形,433,,0,2010-09-01 17:32:47.42,2010-09-01 17:32:47.42
15,"四△,K1",四厚边，开槽,411,,0,2010-09-01 17:33:06.92,2010-09-01 17:33:06.92
16,"四△,K3",四厚边，做形,413,,0,2010-09-01 17:33:30.92,2010-09-01 17:33:30.92
17,"1H1L△1H1L,K3",一长一短厚边、一长一短薄边，做形,123,,0,2010-09-01 17:34:08.423,2010-09-01 17:34:08.423
18,"四,K3",四薄边，做形,402,,0,2010-09-01 17:34:28.923,2010-09-01 17:34:28.923
19,"1H2L△1H,K2",一长两短厚边、一长薄边，开槽或做形,151,,0,2010-09-01 17:34:54.423,2010-09-01 17:34:54.423
