Id,Name,OrderIndex,UpdatedDateTime,CreatedDateTime,IsDeleted,Remark,EdgeBandingColor,Color2020,PriorityFlag,PaintGoods,IsOrder,EPType
1,028,1,2016-04-14 09:24:26.0,2010-08-11 10:06:37.443,1,ºúÌÒÄ¾,028,,,N,0,
2,206,2060,2017-06-01 10:05:42.477,2010-08-11 10:06:44.967,0,ºìÏðÄ¾,206,,,N,1,2
3,208,4,2016-04-14 09:24:47.0,2010-08-11 10:06:52.38,1,¹ÅÏðÄ¾,208,,,N,1,
4,218,2180,2017-06-01 10:06:26.523,2010-08-11 10:07:06.387,0,°×ÏðÄ¾,218,,,N,1,2
5,536,5360,2017-06-01 10:06:46.807,2010-08-11 10:07:12.673,0,Ë÷·ÆÑÇºì,536,,,N,1,2
6,536S,5361,2017-06-01 10:06:51.753,2010-08-11 10:07:22.18,0,Ë÷·ÆÑÇºì,536,,,N,1,2
7,716,7160,2017-06-01 10:07:12.927,2010-08-11 10:07:35.547,0,·ãÄ¾,716,,,N,1,2
8,716S,7161,2017-06-01 10:07:20.403,2010-08-11 10:07:41.273,0,·ãÄ¾,716,,,N,1,2
9,902,9020,2017-06-01 10:07:41.51,2010-08-11 10:07:46.723,0,Å¯°×É«,903,,,N,1,2
10,960,9600,2017-06-01 10:09:13.35,2010-08-11 10:08:05.91,0,»ÒÏðÄ¾,960,,,N,1,2
11,990,9900,2017-06-01 10:10:44.82,2010-08-11 10:08:11.197,0,»¨ÀæÄ¾,990,,,N,1,2
12,201T,15,2014-08-21 08:58:53.0,2010-08-17 16:29:06.027,1,ÎÚÄ¾×Ø,201T,,1,Y,1,
13,202T,15,2014-08-21 08:59:00.0,2010-08-17 16:29:23.643,1,Ó£ÌÒºì,202T,,1,Y,1,
14,203T,15,2014-08-21 08:59:05.0,2010-08-17 16:30:07.147,1,ÏóÑÀ°×,203T,,1,Y,1,
15,201,2010,2017-06-01 10:04:14.913,2010-08-17 16:30:17.807,0,·ÂÕæÎÚÄ¾×Ø,201,,,N,1,2
16,202,2020,2017-06-01 10:04:50.293,2010-08-17 16:30:47.75,0,Ó£ÌÒºì,202,,,N,1,2
17,203,14,2016-04-14 09:30:58.0,2010-08-17 16:30:55.48,1,ÏóÑÀ°×,203,,,N,1,
18,100,1000,2017-06-01 10:21:36.017,2010-08-17 16:34:51.64,0,ÂÁÉ«,100,,,N,1,3
19,101,1010,2017-06-01 10:21:53.243,2010-08-17 16:34:59.11,0,ÏãéÄÉ«,101,,,N,1,3
20,102P,1021,2017-06-01 10:22:04.28,2010-08-17 16:35:09.097,0,°×É«,102,,,N,1,2
