Id,StockUpDeptId,MaterialId,StockUpFlowId
5730,2,6133,10
5745,2,9936,10
5746,2,9939,10
5747,2,9941,10
5763,2,9969,10
5765,2,9994,10
5766,2,9998,10
21349,2,10005,10
21350,2,10006,10
5767,2,10010,10
5768,2,10011,10
11158,2,10052,10
31307,2,10227,10
5643,2,10446,10
28189,2,10447,10
5770,2,10878,10
5771,2,10879,10
5772,2,10880,10
5773,2,10882,10
5774,2,10883,10
5775,2,10884,10
5295,2,10897,10
5296,2,11108,10
5299,2,11115,10
5780,2,11133,10
28135,2,11186,10
5495,2,11218,10
5496,2,11222,10
5497,2,11634,10
5498,2,11636,10
5499,2,11640,10
5500,2,11642,10
5501,2,11646,10
5502,2,11652,10
5503,2,11790,10
5504,2,11792,10
5505,2,11796,10
5506,2,11802,10
5507,2,11804,10
5508,2,11808,10
5509,2,11810,10
5510,2,11811,10
5511,2,11813,10
5512,2,11832,10
5513,2,11834,10
5514,2,11850,10
5515,2,11851,10
5516,2,11854,10
5517,2,11857,10
5518,2,11865,10
5519,2,11880,10
5520,2,12047,10
5521,2,12049,10
5522,2,12053,10
5303,2,13190,10
5304,2,13191,10
25479,2,13198,10
28104,2,13898,10
5422,2,13922,10
5423,2,13923,10
5424,2,13925,10
5425,2,13926,10
6010,2,13978,10
6009,2,13979,10
6008,2,13980,10
6007,2,13981,10
6006,2,13982,10
5430,2,14161,10
5431,2,14163,10
5432,2,14165,10
5433,2,14167,10
5434,2,14169,10
5435,2,14170,10
5436,2,14171,10
5437,2,14172,10
5438,2,14173,10
5439,2,14174,10
5440,2,14175,10
5441,2,14176,10
5442,2,14177,10
5443,2,14178,10
5444,2,14179,10
5445,2,14180,10
5305,2,14607,10
5306,2,14608,10
5307,2,14609,10
5308,2,14610,10
5309,2,14611,10
5312,2,14614,10
5313,2,14615,10
5314,2,14616,10
28134,2,14617,10
5317,2,14620,10
5318,2,14622,10
28165,2,14623,10
5781,2,14672,10
5528,2,14709,10
5320,2,14730,10
5321,2,14731,10
5322,2,14732,10
5323,2,14733,10
5324,2,14734,10
5325,2,14735,10
5326,2,14736,10
5327,2,14738,10
5328,2,14739,10
5329,2,14740,10
5330,2,14741,10
5331,2,14742,10
5332,2,14743,10
5333,2,14744,10
5334,2,14754,10
5335,2,14755,10
5336,2,14756,10
5337,2,14757,10
5338,2,14758,10
5339,2,14759,10
5340,2,14760,10
5341,2,14761,10
28171,2,15663,10
28172,2,15664,10
28458,2,16657,10
5342,2,17218,10
5343,2,17228,10
5344,2,17244,10
28366,2,17324,10
28365,2,17325,10
5347,2,17335,10
5348,2,17337,10
5349,2,17339,10
5350,2,17341,10
28123,2,17344,10
28133,2,17345,10
28140,2,17346,10
28141,2,17347,10
28142,2,17348,10
28143,2,17349,10
28144,2,17350,10
28145,2,17351,10
